"obj_type","vpid","snomed_id","bnf_code","dmd_name","bnf_name","form_route","short_name"
"amp",326873001,22519811000001104,"0801030L0AAAAAA","Mercaptopurine 50mg tablets (Aspen Pharma Trading Ltd)","Mercaptopurine 50mg tablets","tablet.oral","Mercaptopurine"
"amp",326873001,22673711000001104,"0801030L0AAAAAA","Mercaptopurine 50mg tablets (Alliance Healthcare (Distribution) Ltd)","Mercaptopurine 50mg tablets","tablet.oral","Mercaptopurine"
"amp",326873001,34468011000001100,"0801030L0AAAAAA","Mercaptopurine 50mg tablets (A A H Pharmaceuticals Ltd)","Mercaptopurine 50mg tablets","tablet.oral","Mercaptopurine"
"amp",18430611000001104,18413011000001108,"0801030L0AAABAB","Mercaptopurine 10mg tablets (Special Order)","Mercaptopurine 10mg tablets","tablet.oral","Mercaptopurine"
"amp",18430611000001104,36476511000001104,"0801030L0AAABAB","Mercaptopurine 10mg tablets (Imported (Germany))","Mercaptopurine 10mg tablets","tablet.oral","Mercaptopurine"
"amp",12701611000001102,12695511000001106,"0801030L0AAACAC","Mercaptopurine 5mg/5ml oral suspension (Special Order)","Mercaptopurine 5mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"amp",12701511000001100,12695311000001100,"0801030L0AAAFAF","Mercaptopurine 50mg/5ml oral suspension (Special Order)","Mercaptopurine 50mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"amp",8796611000001103,8759711000001105,"0801030L0AAAGAG","Mercaptopurine 10mg capsules (Special Order)","Mercaptopurine 10mg capsules","capsule.oral","Mercaptopurine"
"amp",8663711000001106,8613411000001101,"0801030L0AAAHAH","Mercaptopurine 25mg/5ml oral suspension (Special Order)","Mercaptopurine 25mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"amp",12701711000001106,12696211000001102,"0801030L0AAAIAI","Mercaptopurine 75mg/5ml oral suspension (Special Order)","Mercaptopurine 75mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"amp",20556311000001100,20538611000001108,"0801030L0AAAJAJ","Mercaptopurine 25mg tablets (Special Order)","Mercaptopurine 25mg tablets","tablet.oral","Mercaptopurine"
"amp",20921111000001100,20886411000001104,"0801030L0AAAKAK","Mercaptopurine 45mg/5ml oral suspension (Special Order)","Mercaptopurine 45mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"amp",22154611000001104,22101211000001108,"0801030L0AAALAL","Mercaptopurine 25mg capsules (Special Order)","Mercaptopurine 25mg capsules","capsule.oral","Mercaptopurine"
"amp",28366311000001108,28279111000001100,"0801030L0AAAMAM","Mercaptopurine 30mg capsules (Special Order)","Mercaptopurine 30mg capsules","capsule.oral","Mercaptopurine"
"amp",28415311000001104,28397011000001104,"0801030L0AAANAN","Mercaptopurine 75mg tablets (Special Order)","Mercaptopurine 75mg tablets","tablet.oral","Mercaptopurine"
"amp",31535311000001100,31508511000001108,"0801030L0AAAPAP","Mercaptopurine 75mg capsules (Special Order)","Mercaptopurine 75mg capsules","capsule.oral","Mercaptopurine"
"amp",8663611000001102,8612811000001107,"0801030L0AAAQAQ","Mercaptopurine 100mg/5ml oral suspension (Special Order)","Mercaptopurine 20mg/ml oral suspension","suspension.oral","Mercaptopurine"
"amp",36595711000001112,36582811000001112,"0801030L0AAARAR","Mercaptopurine 20mg capsules (Special Order)","Mercaptopurine 20mg capsules","capsule.oral","Mercaptopurine"
"amp",36979111000001104,36959911000001104,"0801030L0AAASAS","Mercaptopurine 12.5mg capsules (Special Order)","Mercaptopurine 12.5mg capsules","capsule.oral","Mercaptopurine"
"amp",326873001,3832911000001101,"0801030L0BBAAAA","Puri-Nethol 50mg tablets (Aspen Pharma Trading Ltd)","Puri-Nethol 50mg tablets","tablet.oral","Puri-Nethol"
"amp",8663611000001102,21969411000001108,"0801030L0BCABAQ","Xaluprine 20mg/ml oral suspension (Nova Laboratories Ltd)","Xaluprine 20mg/ml oral suspension","suspension.oral","Xaluprine"
"amp",326873001,37572111000001104,"0801030L0BDAAAA","Hanixol 50mg tablets (Fontus Health Ltd)","Hanixol 50mg tablets","tablet.oral","Hanixol"
"vmp",326873001,326873001,"0801030L0AAAAAA","Mercaptopurine 50mg tablets","Mercaptopurine 50mg tablets","tablet.oral","Mercaptopurine"
"vmp",18430611000001104,18430611000001104,"0801030L0AAABAB","Mercaptopurine 10mg tablets","Mercaptopurine 10mg tablets","tablet.oral","Mercaptopurine"
"vmp",12701611000001102,12701611000001102,"0801030L0AAACAC","Mercaptopurine 5mg/5ml oral suspension","Mercaptopurine 5mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",12701511000001100,12701511000001100,"0801030L0AAAFAF","Mercaptopurine 50mg/5ml oral suspension","Mercaptopurine 50mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",8796611000001103,8796611000001103,"0801030L0AAAGAG","Mercaptopurine 10mg capsules","Mercaptopurine 10mg capsules","capsule.oral","Mercaptopurine"
"vmp",8663711000001106,8663711000001106,"0801030L0AAAHAH","Mercaptopurine 25mg/5ml oral suspension","Mercaptopurine 25mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",12701711000001106,12701711000001106,"0801030L0AAAIAI","Mercaptopurine 75mg/5ml oral suspension","Mercaptopurine 75mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",20556311000001100,20556311000001100,"0801030L0AAAJAJ","Mercaptopurine 25mg tablets","Mercaptopurine 25mg tablets","tablet.oral","Mercaptopurine"
"vmp",20921111000001100,20921111000001100,"0801030L0AAAKAK","Mercaptopurine 45mg/5ml oral suspension","Mercaptopurine 45mg/5ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",22154611000001104,22154611000001104,"0801030L0AAALAL","Mercaptopurine 25mg capsules","Mercaptopurine 25mg capsules","capsule.oral","Mercaptopurine"
"vmp",28366311000001108,28366311000001108,"0801030L0AAAMAM","Mercaptopurine 30mg capsules","Mercaptopurine 30mg capsules","capsule.oral","Mercaptopurine"
"vmp",28415311000001104,28415311000001104,"0801030L0AAANAN","Mercaptopurine 75mg tablets","Mercaptopurine 75mg tablets","tablet.oral","Mercaptopurine"
"vmp",31535311000001100,31535311000001100,"0801030L0AAAPAP","Mercaptopurine 75mg capsules","Mercaptopurine 75mg capsules","capsule.oral","Mercaptopurine"
"vmp",8663611000001102,8663611000001102,"0801030L0AAAQAQ","Mercaptopurine 20mg/ml oral suspension","Mercaptopurine 20mg/ml oral suspension","suspension.oral","Mercaptopurine"
"vmp",36595711000001112,36595711000001112,"0801030L0AAARAR","Mercaptopurine 20mg capsules","Mercaptopurine 20mg capsules","capsule.oral","Mercaptopurine"
